road,MAPE_test_%,AIC,resid_std
Окт,9.456467873104824,307.91297247557696,17.709362654633953
Клнг,17.703560232180067,119.57765316671643,2.4899614301872233
Моск,19.522351366030634,336.1944750705927,23.776374480905456
Горьк,7.323606759956679,267.2213785079176,11.590927647855954
Сев,12.698164524624914,320.2196079730185,20.131536564037372
С-Кав,11.059568349260378,244.06961056387092,9.107137468647952
Ю-Вост,5.408517330259074,163.4274545289216,3.93155878506244
Прив,8.737485296884788,379.0899811221225,37.17069140886174
Кбш,11.28830419111514,297.75100786405574,15.930565547256716
Сверд,8.625780014929346,300.2472951569033,16.350240543159153
Ю-Ур,7.0988772539179665,283.40793453163894,13.719698542422266
З-Сиб,10.485607978337057,267.4692791255816,11.620897348086608
Крас,5.536121389832168,264.36315361998606,11.250915649968606
В-Сиб,7.783324489190139,298.5992012610179,16.071936183504672
Заб,11.275709684497214,404.07446559642926,48.20903285751226
Двост,8.869499101678494,410.43120693817707,51.39319294095171
Сеть,16.61250212694586,335.97779523082784,23.72276966980816
